Arrest Date,1 Convicted Criminal,2 Pending Criminal Charges,3 Other Immigration Violator,1 Convicted Criminal (7-day avg),2 Pending Criminal Charges (7-day avg),3 Other Immigration Violator (7-day avg)
2024-09-10,2.0,1.0,3.0,1.1428571428571428,0.5714285714285714,2.857142857142857
2024-09-11,1.0,0.0,4.0,1.2857142857142858,0.42857142857142855,2.5714285714285716
2024-09-12,3.0,1.0,6.0,1.7142857142857142,0.5714285714285714,3.2857142857142856
2024-09-13,2.0,0.0,2.0,1.2857142857142858,0.5714285714285714,3.2857142857142856
2024-09-14,0.0,0.0,0.0,1.2857142857142858,0.5714285714285714,3.2857142857142856
2024-09-15,0.0,0.0,0.0,1.2857142857142858,0.5714285714285714,3.2857142857142856
2024-09-16,0.0,0.0,8.0,1.1428571428571428,0.2857142857142857,3.2857142857142856
2024-09-17,1.0,1.0,7.0,1.0,0.2857142857142857,3.857142857142857
2024-09-18,0.0,0.0,3.0,0.8571428571428571,0.2857142857142857,3.7142857142857144
2024-09-19,5.0,1.0,7.0,1.1428571428571428,0.2857142857142857,3.857142857142857
2024-09-20,3.0,1.0,2.0,1.2857142857142858,0.42857142857142855,3.857142857142857
2024-09-21,0.0,1.0,0.0,1.2857142857142858,0.5714285714285714,3.857142857142857
2024-09-22,0.0,0.0,0.0,1.2857142857142858,0.5714285714285714,3.857142857142857
2024-09-23,1.0,0.0,4.0,1.4285714285714286,0.5714285714285714,3.2857142857142856
2024-09-24,3.0,1.0,17.0,1.7142857142857142,0.5714285714285714,4.714285714285714
2024-09-25,1.0,0.0,6.0,1.8571428571428572,0.5714285714285714,5.142857142857143
2024-09-26,2.0,1.0,9.0,1.4285714285714286,0.5714285714285714,5.428571428571429
2024-09-27,4.0,2.0,3.0,1.5714285714285714,0.7142857142857143,5.571428571428571
2024-09-28,1.0,0.0,0.0,1.7142857142857142,0.5714285714285714,5.571428571428571
2024-09-29,0.0,0.0,0.0,1.7142857142857142,0.5714285714285714,5.571428571428571
2024-09-30,1.0,2.0,4.0,1.7142857142857142,0.8571428571428571,5.571428571428571
2024-10-01,2.0,1.0,2.0,1.5714285714285714,0.8571428571428571,3.4285714285714284
2024-10-02,2.0,0.0,7.0,1.7142857142857142,0.8571428571428571,3.5714285714285716
2024-10-03,4.0,3.0,5.0,2.0,1.1428571428571428,3.0
