"Column Name","Label"
"B05006_100E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Somalia"
"B05006_100M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Somalia"
"B05006_101E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Tanzania"
"B05006_101M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Tanzania"
"B05006_102E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Uganda"
"B05006_102M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Uganda"
"B05006_103E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Zimbabwe"
"B05006_103M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Zimbabwe"
"B05006_104E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Other Eastern Africa"
"B05006_104M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Other Eastern Africa"
"B05006_105E","Estimate!!Total:!!Africa:!!Middle Africa:"
"B05006_105M","Margin of Error!!Total:!!Africa:!!Middle Africa:"
"B05006_106E","Estimate!!Total:!!Africa:!!Middle Africa:!!Cameroon"
"B05006_106M","Margin of Error!!Total:!!Africa:!!Middle Africa:!!Cameroon"
"B05006_107E","Estimate!!Total:!!Africa:!!Middle Africa:!!Congo"
"B05006_107M","Margin of Error!!Total:!!Africa:!!Middle Africa:!!Congo"
"B05006_108E","Estimate!!Total:!!Africa:!!Middle Africa:!!Democratic Republic of Congo (Zaire)"
"B05006_108M","Margin of Error!!Total:!!Africa:!!Middle Africa:!!Democratic Republic of Congo (Zaire)"
"B05006_109E","Estimate!!Total:!!Africa:!!Middle Africa:!!Other Middle Africa"
"B05006_109M","Margin of Error!!Total:!!Africa:!!Middle Africa:!!Other Middle Africa"
"B05006_110E","Estimate!!Total:!!Africa:!!Northern Africa:"
"B05006_110M","Margin of Error!!Total:!!Africa:!!Northern Africa:"
"B05006_111E","Estimate!!Total:!!Africa:!!Northern Africa:!!Algeria"
"B05006_111M","Margin of Error!!Total:!!Africa:!!Northern Africa:!!Algeria"
"B05006_112E","Estimate!!Total:!!Africa:!!Northern Africa:!!Egypt"
"B05006_112M","Margin of Error!!Total:!!Africa:!!Northern Africa:!!Egypt"
"B05006_113E","Estimate!!Total:!!Africa:!!Northern Africa:!!Morocco"
"B05006_113M","Margin of Error!!Total:!!Africa:!!Northern Africa:!!Morocco"
"B05006_114E","Estimate!!Total:!!Africa:!!Northern Africa:!!Sudan"
"B05006_114M","Margin of Error!!Total:!!Africa:!!Northern Africa:!!Sudan"
"B05006_115E","Estimate!!Total:!!Africa:!!Northern Africa:!!Other Northern Africa"
"B05006_115M","Margin of Error!!Total:!!Africa:!!Northern Africa:!!Other Northern Africa"
"B05006_116E","Estimate!!Total:!!Africa:!!Southern Africa:"
"B05006_116M","Margin of Error!!Total:!!Africa:!!Southern Africa:"
"B05006_117E","Estimate!!Total:!!Africa:!!Southern Africa:!!South Africa"
"B05006_117M","Margin of Error!!Total:!!Africa:!!Southern Africa:!!South Africa"
"B05006_118E","Estimate!!Total:!!Africa:!!Southern Africa:!!Other Southern Africa"
"B05006_118M","Margin of Error!!Total:!!Africa:!!Southern Africa:!!Other Southern Africa"
"B05006_119E","Estimate!!Total:!!Africa:!!Western Africa:"
"B05006_119M","Margin of Error!!Total:!!Africa:!!Western Africa:"
"B05006_120E","Estimate!!Total:!!Africa:!!Western Africa:!!Cabo Verde"
"B05006_120M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Cabo Verde"
"B05006_121E","Estimate!!Total:!!Africa:!!Western Africa:!!Ghana"
"B05006_121M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Ghana"
"B05006_122E","Estimate!!Total:!!Africa:!!Western Africa:!!Ivory Coast"
"B05006_122M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Ivory Coast"
"B05006_123E","Estimate!!Total:!!Africa:!!Western Africa:!!Liberia"
"B05006_123M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Liberia"
"B05006_124E","Estimate!!Total:!!Africa:!!Western Africa:!!Nigeria"
"B05006_124M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Nigeria"
"B05006_125E","Estimate!!Total:!!Africa:!!Western Africa:!!Senegal"
"B05006_125M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Senegal"
"B05006_126E","Estimate!!Total:!!Africa:!!Western Africa:!!Sierra Leone"
"B05006_126M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Sierra Leone"
"B05006_127E","Estimate!!Total:!!Africa:!!Western Africa:!!Togo"
"B05006_127M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Togo"
"B05006_128E","Estimate!!Total:!!Africa:!!Western Africa:!!Other Western Africa"
"B05006_128M","Margin of Error!!Total:!!Africa:!!Western Africa:!!Other Western Africa"
"B05006_129E","Estimate!!Total:!!Africa:!!Africa, n.e.c."
"B05006_129M","Margin of Error!!Total:!!Africa:!!Africa, n.e.c."
"B05006_130E","Estimate!!Total:!!Oceania:"
"B05006_130M","Margin of Error!!Total:!!Oceania:"
"B05006_131E","Estimate!!Total:!!Oceania:!!Australia and New Zealand Subregion:"
"B05006_131M","Margin of Error!!Total:!!Oceania:!!Australia and New Zealand Subregion:"
"B05006_132E","Estimate!!Total:!!Oceania:!!Australia and New Zealand Subregion:!!Australia"
"B05006_132M","Margin of Error!!Total:!!Oceania:!!Australia and New Zealand Subregion:!!Australia"
"B05006_133E","Estimate!!Total:!!Oceania:!!Australia and New Zealand Subregion:!!Other Australian and New Zealand Subregion"
"B05006_133M","Margin of Error!!Total:!!Oceania:!!Australia and New Zealand Subregion:!!Other Australian and New Zealand Subregion"
"B05006_134E","Estimate!!Total:!!Oceania:!!Fiji"
"B05006_134M","Margin of Error!!Total:!!Oceania:!!Fiji"
"B05006_135E","Estimate!!Total:!!Oceania:!!Marshall Islands"
"B05006_135M","Margin of Error!!Total:!!Oceania:!!Marshall Islands"
"B05006_136E","Estimate!!Total:!!Oceania:!!Micronesia"
"B05006_136M","Margin of Error!!Total:!!Oceania:!!Micronesia"
"B05006_137E","Estimate!!Total:!!Oceania:!!Oceania, n.e.c."
"B05006_137M","Margin of Error!!Total:!!Oceania:!!Oceania, n.e.c."
"B05006_138E","Estimate!!Total:!!Americas:"
