"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36005043000","Census Tract 430; Bronx County; New York","3287","869",
"1400000US36005043101","Census Tract 431.01; Bronx County; New York","4880","1229",
"1400000US36005043102","Census Tract 431.02; Bronx County; New York","4341","673",
"1400000US36005043400","Census Tract 434; Bronx County; New York","3829","658",
"1400000US36005043501","Census Tract 435.01; Bronx County; New York","1035","142",
"1400000US36005043502","Census Tract 435.02; Bronx County; New York","0","13",
"1400000US36005043503","Census Tract 435.03; Bronx County; New York","56","29",
"1400000US36005043600","Census Tract 436; Bronx County; New York","2397","533",
"1400000US36005044200","Census Tract 442; Bronx County; New York","4055","1230",
"1400000US36005044400","Census Tract 444; Bronx County; New York","4409","953",
"1400000US36005044800","Census Tract 448; Bronx County; New York","2449","570",
"1400000US36005044901","Census Tract 449.01; Bronx County; New York","1986","322",
"1400000US36005044902","Census Tract 449.02; Bronx County; New York","2303","368",
"1400000US36005045101","Census Tract 451.01; Bronx County; New York","1602","328",
"1400000US36005045102","Census Tract 451.02; Bronx County; New York","1973","413",
"1400000US36005045600","Census Tract 456; Bronx County; New York","3548","586",
"1400000US36005045800","Census Tract 458; Bronx County; New York","5671","836",
"1400000US36005046000","Census Tract 460; Bronx County; New York","2489","569",
"1400000US36005046203","Census Tract 462.03; Bronx County; New York","7120","1571",
"1400000US36005046204","Census Tract 462.04; Bronx County; New York","5311","1082",
"1400000US36005046205","Census Tract 462.05; Bronx County; New York","3495","386",
"1400000US36005046206","Census Tract 462.06; Bronx County; New York","4365","712",
"1400000US36005046207","Census Tract 462.07; Bronx County; New York","6488","1537",
"1400000US36005046208","Census Tract 462.08; Bronx County; New York","5042","947",
"1400000US36005046209","Census Tract 462.09; Bronx County; New York","4309","1541",
"1400000US36005048401","Census Tract 484.01; Bronx County; New York","4192","827",
"1400000US36005048402","Census Tract 484.02; Bronx County; New York","0","13",
"1400000US36005050400","Census Tract 504; Bronx County; New York","0","13",
"1400000US36005051601","Census Tract 516.01; Bronx County; New York","4273","867",
"1400000US36005051602","Census Tract 516.02; Bronx County; New York","0","13",
"1400000US36047000100","Census Tract 1; Kings County; New York","4839","612",
"1400000US36047000200","Census Tract 2; Kings County; New York","1203","247",
"1400000US36047000301","Census Tract 3.01; Kings County; New York","4031","710",
"1400000US36047000501","Census Tract 5.01; Kings County; New York","4504","436",
"1400000US36047000502","Census Tract 5.02; Kings County; New York","2787","275",
"1400000US36047000700","Census Tract 7; Kings County; New York","3983","494",
"1400000US36047000900","Census Tract 9; Kings County; New York","4792","563",
"1400000US36047001100","Census Tract 11; Kings County; New York","1585","261",
"1400000US36047001300","Census Tract 13; Kings County; New York","2408","353",
"1400000US36047001501","Census Tract 15.01; Kings County; New York","4925","533",
"1400000US36047001502","Census Tract 15.02; Kings County; New York","5418","746",
"1400000US36047001801","Census Tract 18.01; Kings County; New York","1564","93",
"1400000US36047001802","Census Tract 18.02; Kings County; New York","0","13",
"1400000US36047001803","Census Tract 18.03; Kings County; New York","6","1",
"1400000US36047001804","Census Tract 18.04; Kings County; New York","0","13",
"1400000US36047002000","Census Tract 20; Kings County; New York","1795","590",
"1400000US36047002100","Census Tract 21; Kings County; New York","6180","1141",
"1400000US36047002200","Census Tract 22; Kings County; New York","4155","756",
"1400000US36047002300","Census Tract 23; Kings County; New York","3642","796",
"1400000US36047002901","Census Tract 29.01; Kings County; New York","3340","492",
"1400000US36047003000","Census Tract 30; Kings County; New York","1818","268",
"1400000US36047003101","Census Tract 31.01; Kings County; New York","3547","411",
"1400000US36047003102","Census Tract 31.02; Kings County; New York","0","13",
"1400000US36047003300","Census Tract 33; Kings County; New York","4203","582",
"1400000US36047003400","Census Tract 34; Kings County; New York","3515","544",
"1400000US36047003500","Census Tract 35; Kings County; New York","2125","228",
"1400000US36047003600","Census Tract 36; Kings County; New York","3702","402",
"1400000US36047003700","Census Tract 37; Kings County; New York","4276","457",
"1400000US36047003800","Census Tract 38; Kings County; New York","1578","310",
"1400000US36047003900","Census Tract 39; Kings County; New York","2557","451",
"1400000US36047004100","Census Tract 41; Kings County; New York","3364","466",
"1400000US36047004300","Census Tract 43; Kings County; New York","3952","401",
"1400000US36047004400","Census Tract 44; Kings County; New York","2289","304",
